name,phone,Address,City,Postcode,Mn,Tu,We,Th,Fr,Sa,Su,notification,Location 1,Borough,Latitude,Longitude,Community Board,Council District ,Census Tract,BIN,BBL,NTA
Arverne,(718) 634-4784,312 Beach 54 Street,Arverne,11692,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.593066, -73.784341)",QUEENS   ,40.593066,-73.784341,14,31,97204,4158900018,4158900018,Hammels-Arverne-Edgemere                                                   
Astoria,(718) 278-2220,14-01 Astoria Boulevard,Long Island City,11102,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.772173, -73.928757)",QUEENS   ,40.772173,-73.928757,1,22,83,4005400030,4005400030,Old Astoria                                                                
Auburndale,(718) 352-2027,25-55 Francis Lewis Boulevard,Flushing,11358,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.773525, -73.796552)",QUEENS   ,40.773525,-73.796552,7,19,1017,4057690010,4057690010,Ft. Totten-Bay Terrace-Clearview                                           
Baisley Park,(718) 529-1590,117-11 Sutphin Boulevard,Jamaica,11436,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.680318, -73.79203)",QUEENS   ,40.680318,-73.79203,12,28,288,4122040099,4122040099,Baisley Park                                                               
Bay Terrace,(718) 423-7004,18-36 Bell Boulevard,Bayside,11360,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.783103, -73.777013)",QUEENS   ,40.783103,-73.777013,7,19,99704,4058650082,4058650082,Ft. Totten-Bay Terrace-Clearview                                           
Bayside,(718) 229-1834,214-20 Northern Boulevard,Bayside,11361,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.760363, -73.768588)",QUEENS   ,40.760363,-73.768588,11,19,1471,4073330215,4073330215,Bayside-Bayside Hills                                                      
Bellerose,(718) 831-8644,250-06 Hillside Avenue,Bellerose,11426,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.735403, -73.717266)",QUEENS   ,40.735403,-73.717266,13,23,157101,4086040085,4086040085,Bellerose                                                                  
Briarwood,(718) 658-1680,85-12 Main Street,Briarwood,11435,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.71014, -73.819621)",QUEENS   ,40.71014,-73.819621,8,24,22001,4096510025,4096510025,Briarwood-Jamaica Hills                                                    
Broad Channel,(718) 318-4943,16-26 Cross Bay Boulevard,Broad Channel,11693,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.600838, -73.820374)",QUEENS   ,40.600838,-73.820374,14,32,107201,4154810530,4154810530,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
Broadway,(718) 721-2462,40-20 Broadway,Long Island City,11103,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.758859, -73.918772)",QUEENS   ,40.758859,-73.918772,1,26,157,4006760050,4006760050,Astoria                                                                    
Cambria Heights,(718) 528-3535,218-13 Linden Boulevard,Cambria Heights,11411,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.69554, -73.74138)",QUEENS   ,40.69554,-73.74138,13,27,598,4113190001,4113190001,Cambria Heights                                                            
Central Library,(718) 990-0700,89-11 Merrick Boulevard,Jamaica,11432,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.795295,12,27,460,4097980006,4097980006,Jamaica                                                                    
Central Library- The Archives,(718) 990-0700,89-11 Merrick Boulevard,Jamaica,11432,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.795295,12,27,460,4097980006,4097980006,Jamaica                                                                    
Corona,(718) 426-2844,38-23 104 Street,Corona,11368,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.750871, -73.862204)",QUEENS   ,40.750871,-73.862204,3,21,403,4017750077,4017750077,North Corona                                                               
Court Square,(718) 937-2790,25-01 Jackson Avenue,Long Island City,11101,11:00 AM - 7:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 7:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.746845, -73.94444)",QUEENS   ,40.746845,-73.94444,2,26,19,4000790030,4000790030,Hunters Point-Sunnyside-West Maspeth                                       
Cyber Center,(718) 990-0700,89-11 Merrick Boulevard,Jamaica,11432,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.795295,12,27,460,4097980006,4097980006,Jamaica                                                                    
Douglaston/Little Neck,(718) 225-8414,249-01 Northern Boulevard,Little Neck,11363,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.76795, -73.738088)",QUEENS   ,40.76795,-73.738088,11,19,1479,4081260087,4081260087,Douglas Manor-Douglaston-Little Neck                                       
East Elmhurst,(718) 424-2619,95-06 Astoria Boulevard,East Elmhurst,11369,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.76278, -73.874016)",QUEENS   ,40.76278,-73.874016,3,21,353,4013750001,4013750001,East Elmhurst                                                              
East Flushing,(718) 357-6643,196-36 Northern Boulevard,Flushing,11358,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757877, -73.784804)",QUEENS   ,40.757877,-73.784804,11,19,145101,4055200018,4055200018,Auburndale                                                                 
Elmhurst,(718) 271-1020,86-01 Broadway,Elmhurst,11373,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.738498, -73.877382)",QUEENS   ,40.738498,-73.877382,4,25,473,,,Elmhurst                                                                   
Far Rockaway,(718) 327-2549,1637 Central Avenue,Far Rockaway,11691,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.604487, -73.752641)",QUEENS   ,40.604487,-73.752641,14,31,103202,4155590025,4155590025,Far Rockaway-Bayswater                                                     
Flushing,(718) 661-1200,41-17 Main Street,Flushing,11355,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.757784, -73.829252)",QUEENS   ,40.757784,-73.829252,7,20,853,4050430011,4050430011,Flushing                                                                   
Forest Hills,(718) 268-7934,108-19 71 Avenue,Forest Hills,11375,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.721777, -73.843378)",QUEENS   ,40.721777,-73.843378,6,29,739,4022230054,4022230054,Forest Hills                                                               
Fresh Meadows,(718) 454-7272,193-20 Horace Harding Expressway,Fresh Meadows,11365,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.74172, -73.782521)",QUEENS   ,40.74172,-73.782521,8,23,1347,4071170200,4071170200,Fresh Meadows-Utopia                                                       
Glen Oaks,(718) 831-8636,256-04 Union Turnpike, Glen Oaks,11004,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.745388, -73.715036)",QUEENS   ,40.745388,-73.715036,13,23,157902,4086930010,4086930010,Glen Oaks-Floral Park-New Hyde Park                                        
Glendale,(718) 821-4980,78-60 73 Place,Glendale,11385,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,,"(40.703149, -73.875748)",QUEENS   ,40.703149,-73.875748,5,30,623,4036960047,4036960047,Glendale                                                                   
Hillcrest,(718) 454-2786,187-05 Union Turnpike,Flushing,11366,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.728981, -73.781902)",QUEENS   ,40.728981,-73.781902,8,24,1333,4072040040,4072040040,Fresh Meadows-Utopia                                                       
Hollis,(718) 465-7355,202-05 Hillside Avenue,Hollis,11423,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.719914, -73.762191)",QUEENS   ,40.719914,-73.762191,8,23,478,4105320120,4105320120,Jamaica Estates-Holliswood                                                 
Howard Beach,(718) 641-7086,92-06 156 Avenue, Howard Beach,11414,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.664069, -73.841928)",QUEENS   ,40.664069,-73.841928,10,32,892,4139570001,4139570001,Lindenwood-Howard Beach                                                    
Jackson Heights,(718) 899-2500,35-51 81 Street,Jackson Heights,11372,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.751319, -73.885533)",QUEENS   ,40.751319,-73.885533,3,25,283,4012810048,4012810048,Jackson Heights                                                            
Job Information Center,(718) 990-0700,89-11 Merrick Boulevard,Jamaica,11432,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 9:00 PM,9:00 AM - 7:00 PM,10:00 AM - 5:00 PM,12:00 PM - 5:00 PM,,"(40.707865, -73.795295)",QUEENS   ,40.707865,-73.795295,12,27,460,4097980006,4097980006,Jamaica                                                                    
Kew Gardens Hills,(718) 261-6654,72-33 Vleigh Place,Flushing,11367,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,Closed - Closed,12:00 PM - 5:00 PM,,"(40.725815, -73.820989)",QUEENS   ,40.725815,-73.820989,8,24,77907,4066610005,4066610005,Kew Gardens Hills                                                          
Langston Hughes,(718) 651-1100,100-01 Northern Boulevard,Corona,11368,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757361, -73.868331)",QUEENS   ,40.757361,-73.868331,3,21,363,4016950039,4016950039,East Elmhurst                                                              
Laurelton,(718) 528-2822,134-26 225 Street,Laurelton,11413,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.677059, -73.74514)",QUEENS   ,40.677059,-73.74514,13,31,630,4131050007,4131050007,Laurelton                                                                  
Lefferts,(718) 843-5950,103-34 Lefferts Boulevard,Richmond Hill,11419,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.687273, -73.824691)",QUEENS   ,40.687273,-73.824691,10,28,106,4095560020,4095560020,South Ozone Park                                                           
Lefrak City,(718) 592-7677,98-30 57 Avenue,Corona,11368,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.738027, -73.861173)",QUEENS   ,40.738027,-73.861173,4,21,455,4019180070,4019180070,Corona                                                                     
Long Island City,(718) 752-3700,37-44 21 Street,Long Island City,11101,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.757826, -73.938771)",QUEENS   ,40.757826,-73.938771,1,26,43,4003630001,4003630001,Queensbridge-Ravenswood-Long Island City                                   
Maspeth,(718) 639-5228,69-70 Grand Avenue,Maspeth,11378,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.727126, -73.893357)",QUEENS   ,40.727126,-73.893357,5,30,49302,4027960008,4027960008,Maspeth                                                                    
McGoldrick,(718) 461-1616,155-06 Roosevelt Av. (off Northern Blvd),Flushing,11354,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.763998, -73.809754)",QUEENS   ,40.763998,-73.809754,7,20,1171,4052750120,4052750120,Murray Hill                                                                
Middle Village,(718) 326-1390,72-31 Metropolitan Avenue,Middle Village,11379,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.71258, -73.880885)",QUEENS   ,40.71258,-73.880885,5,30,65702,4030577501,4030577501,Middle Village                                                             
Mitchell-Linden,(718) 539-2330,29-42 Union Street,Flushing,11354,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.771345, -73.826582)",QUEENS   ,40.771345,-73.826582,7,20,88901,4043430110,4043430110,Flushing                                                                   
North Forest Park,(718) 261-5512,98-27 Metropolitan Avenue,Forest Hills,11375,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.710913, -73.853662)",QUEENS   ,40.710913,-73.853662,6,29,729,4032070022,4032070022,Forest Hills                                                               
North Hills,(718) 225-3550,57-04 Marathon Parkway,Little Neck,11362,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.75942, -73.731307)",QUEENS   ,40.75942,-73.731307,11,23,152901,4082760657,4082760657,Douglas Manor-Douglaston-Little Neck                                       
Ozone Park,(718) 845-3127,92-24 Rockaway Boulevard,Ozone Park,11417,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.681283, -73.847111)",QUEENS   ,40.681283,-73.847111,10,32,54,4091130030,4091130030,Ozone Park                                                                 
Peninsula,(718) 634-1110,92-25 Rockaway Beach Boulevard,Rockaway Beach,11693,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.5863, -73.815797)",QUEENS   ,40.5863,-73.815797,14,32,94203,4161350013,4161350013,Hammels-Arverne-Edgemere                                                   
Pomonok,(718) 591-4343,158-21 Jewel Avenue,Flushing,11365,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.732272, -73.809902)",QUEENS   ,40.732272,-73.809902,8,24,122701,4067900022,4067900022,Pomonok-Flushing Heights-Hillcrest                                         
Poppenhusen,(718) 359-1102,121-23 14 Avenue,College Point,11356,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.785984, -73.846506)",QUEENS   ,40.785984,-73.846506,7,19,929,4040420113,4040420113,College Point                                                              
Queens Village,(718) 776-6800,94-11 217 Street,Queens Village,11428,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.719749, -73.739299)",QUEENS   ,40.719749,-73.739299,13,23,566,4106210012,4106210012,Queens Village                                                             
Queensboro Hill,(718) 359-8332,60-05 Main Street,Flushing,11355,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.743081, -73.825526)",QUEENS   ,40.743081,-73.825526,7,20,80301,4064050050,4064050050,Queensboro Hill                                                            
Rego Park,(718) 459-5140,91-41 63 Drive,Rego Park,11374,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.726991, -73.864371)",QUEENS   ,40.726991,-73.864371,6,29,695,4031030043,4031030043,Rego Park                                                                  
Richmond Hill,(718) 849-7150,118-14 Hillside Avenue,Richmond Hill,11418,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.701022, -73.83211)",QUEENS   ,40.701022,-73.83211,9,29,132,4092640056,4092640056,Richmond Hill                                                              
Ridgewood,(718) 821-4770,20-12 Madison Street,Ridgewood,11385,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.705193, -73.902867)",QUEENS   ,40.705193,-73.902867,5,30,589,4034910001,4034910001,Ridgewood                                                                  
Rochdale Village,(718) 723-4440,169-09 137 Avenue,Jamaica,11434,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.672568, -73.770994)",QUEENS   ,40.672568,-73.770994,12,28,33402,4124950175,4124950175,Springfield Gardens North                                                  
Rosedale,(718) 528-8490,144-20 243 Street,Rosedale,11422,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.660152, -73.739488)",QUEENS   ,40.660152,-73.739488,13,31,654,4135490007,4135490007,Rosedale                                                                   
Seaside,(718) 634-1876,116-15 Rockaway Beach Boulevard,Rockaway Park,11694,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.57971, -73.837487)",QUEENS   ,40.57971,-73.837487,14,32,93402,4162260001,4162260001,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      
South Hollis,(718) 465-6779,204-01 Hollis Avenue,South Hollis,11412,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.706755, -73.753827)",QUEENS   ,40.706755,-73.753827,12,27,508,4109070030,4109070030,Hollis                                                                     
South Jamaica,(718) 739-4088,108-41 Guy R. Brewer Boulevard,Jamaica,11433,10:00 AM - 5:00 PM,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,Closed - Closed,,"(40.695879, -73.790734)",QUEENS   ,40.695879,-73.790734,12,27,258,4101710008,4101710008,South Jamaica                                                              
South Ozone Park,(718) 529-1660,128-16 Rockaway Boulevard,South Ozone Park,11420,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.675084, -73.809585)",QUEENS   ,40.675084,-73.809585,10,28,818,4117500057,4117500057,South Ozone Park                                                           
St. Albans,(718) 528-8196,191-05 Linden Boulevard,St. Albans,11412,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.692284, -73.760112)",QUEENS   ,40.692284,-73.760112,12,27,528,4110620024,4110620024,St. Albans                                                                 
Steinway,(718) 728-1965,21-45 31 Street,Long Island City,11105,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.777105, -73.909496)",QUEENS   ,40.777105,-73.909496,1,22,113,4008310015,4008310015,Steinway                                                                   
Sunnyside,(718) 784-3033,43-06 Greenpoint Avenue,Long Island City,11104,9:00 AM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.740977, -73.921797)",QUEENS   ,40.740977,-73.921797,2,26,18502,4001730016,4001730016,Hunters Point-Sunnyside-West Maspeth                                       
Whitestone,(718) 767-8010,151-10 14 Road,Whitestone,11357,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.78864, -73.810893)",QUEENS   ,40.78864,-73.810893,7,19,987,4047170025,4047170025,Whitestone                                                                 
Windsor Park,(718) 468-8300,79-50 Bell Boulevard,Bayside,11364,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.734936, -73.755509)",QUEENS   ,40.734936,-73.755509,11,23,129103,4077720001,4077720001,Oakland Gardens                                                            
Woodhaven,(718) 849-1010,85-41 Forest Parkway,Woodhaven,11421,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.694619, -73.861812)",QUEENS   ,40.694619,-73.861812,9,32,12,4088560085,4088560085,Woodhaven                                                                  
Woodside,(718) 429-4700,54-22 Skillman Avenue, Woodside,11377,12:00 PM - 8:00 PM,1:00 PM - 6:00 PM,10:00 AM - 6:00 PM,12:00 PM - 8:00 PM,10:00 AM - 6:00 PM,10:00 AM - 5:00 PM,Closed - Closed,,"(40.745524, -73.90982)",QUEENS   ,40.745524,-73.90982,2,26,251,4013170085,4013170085,Woodside                                                                   
